epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7682,1.46097,3.8268,1.60759,0.00704,0.5019,0.09509,0.0593,1.54316,3.78133,1.59954,0.000325,0.000325,0.000325
2,36.5357,1.47651,3.26337,1.6088,0.73749,0.09643,0.13301,0.07685,1.73726,3.23677,1.91145,0.000632263,0.000632263,0.000632263
3,53.6566,1.55699,2.98121,1.67394,0.55105,0.07936,0.11377,0.0551,2.03609,3.73614,2.35858,0.000913127,0.000913127,0.000913127
4,70.668,1.59963,2.80359,1.68437,0.29193,0.29236,0.22983,0.11355,1.82338,2.94867,2.16872,0.0008812,0.0008812,0.0008812
5,87.3294,1.53658,2.5976,1.65267,0.57651,0.1956,0.23272,0.11519,1.83184,2.45093,2.16627,0.0008416,0.0008416,0.0008416
6,108.071,1.53663,2.54681,1.65803,0.65342,0.20508,0.23276,0.11431,1.85605,2.56088,2.07944,0.000802,0.000802,0.000802
7,130.952,1.50117,2.3856,1.64379,0.34611,0.21197,0.21962,0.11317,1.77074,2.5201,1.89621,0.0007624,0.0007624,0.0007624
8,148.195,1.44767,2.30782,1.55594,0.32868,0.39205,0.31855,0.15228,1.7208,2.20981,1.85996,0.0007228,0.0007228,0.0007228
9,165.034,1.40472,2.21591,1.56964,0.45686,0.36042,0.3829,0.21065,1.63623,2.02576,1.8565,0.0006832,0.0006832,0.0006832
10,181.787,1.3642,2.03706,1.52838,0.44719,0.41785,0.38493,0.20983,1.57281,2.115,1.83919,0.0006436,0.0006436,0.0006436
11,198.444,1.40603,2.02874,1.54343,0.47973,0.36048,0.40888,0.22105,1.54446,1.80679,1.8184,0.000604,0.000604,0.000604
12,215.019,1.33523,1.94046,1.52432,0.54337,0.3316,0.37196,0.20827,1.53153,1.73751,1.74394,0.0005644,0.0005644,0.0005644
13,231.544,1.33975,1.90397,1.50753,0.62071,0.33737,0.4063,0.23217,1.50038,1.67547,1.70058,0.0005248,0.0005248,0.0005248
14,248.253,1.27794,1.81074,1.4596,0.59104,0.3609,0.41201,0.23232,1.47611,1.62563,1.60932,0.0004852,0.0004852,0.0004852
15,264.708,1.28031,1.80203,1.47484,0.66793,0.38343,0.4612,0.2605,1.42472,1.63842,1.59304,0.0004456,0.0004456,0.0004456
16,336.934,1.33611,1.94017,1.55068,0.55211,0.40797,0.42444,0.2346,1.46662,1.72389,1.642,0.000406,0.000406,0.000406
17,356.332,1.22838,1.73505,1.46873,0.59513,0.35916,0.43927,0.2628,1.41204,1.58754,1.5889,0.0003664,0.0003664,0.0003664
18,375.581,1.24235,1.72226,1.47584,0.53492,0.4396,0.44946,0.2514,1.44625,1.60044,1.63258,0.0003268,0.0003268,0.0003268
19,395.428,1.22644,1.62013,1.45454,0.51257,0.45168,0.47119,0.29117,1.33817,1.45217,1.5547,0.0002872,0.0002872,0.0002872
20,416.338,1.19037,1.56379,1.43323,0.62573,0.45,0.50341,0.29733,1.3622,1.42688,1.53739,0.0002476,0.0002476,0.0002476
21,436.122,1.15914,1.49584,1.41349,0.58414,0.50827,0.51234,0.29893,1.33842,1.38075,1.5334,0.000208,0.000208,0.000208
22,452.53,1.10849,1.42184,1.38075,0.74782,0.42949,0.5183,0.32171,1.29582,1.35507,1.50389,0.0001684,0.0001684,0.0001684
23,468.842,1.07624,1.35292,1.33937,0.75072,0.45999,0.53458,0.32415,1.31776,1.31045,1.49325,0.0001288,0.0001288,0.0001288
24,488.839,1.0757,1.33612,1.31289,0.6701,0.47132,0.52808,0.3284,1.29501,1.31494,1.47231,8.92e-05,8.92e-05,8.92e-05
25,517.655,1.05341,1.29154,1.33368,0.70376,0.46061,0.53446,0.33289,1.25391,1.3058,1.44122,4.96e-05,4.96e-05,4.96e-05
