epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1686,1.46097,3.8268,1.60759,0.00704,0.5019,0.09509,0.0593,1.54316,3.78133,1.59954,0.000325,0.000325,0.000325
2,65.1547,1.47951,3.23555,1.606,0.78695,0.09799,0.14281,0.07128,1.76317,3.11608,1.92685,0.000652902,0.000652902,0.000652902
3,88.6738,1.58157,2.95102,1.67308,0.5113,0.17813,0.18696,0.09318,1.82748,2.89103,2.06916,0.000975304,0.000975304,0.000975304
4,113.742,1.61681,2.85437,1.69487,0.46542,0.26999,0.12513,0.04947,2.17375,10.9471,2.62844,0.00097525,0.00097525,0.00097525
5,140.837,1.57177,2.68843,1.71848,0.4318,0.23659,0.23226,0.12114,1.79916,2.51005,2.11593,0.000967,0.000967,0.000967
6,163.071,1.59924,2.60715,1.70914,0.32222,0.25765,0.21972,0.10418,1.85268,2.99732,2.11943,0.00095875,0.00095875,0.00095875
7,182.298,1.5715,2.454,1.68818,0.20644,0.16428,0.14841,0.0779,1.83667,2.99037,2.09087,0.0009505,0.0009505,0.0009505
8,202.432,1.50912,2.37808,1.62123,0.27349,0.31906,0.25531,0.1036,1.81786,2.66395,2.13252,0.00094225,0.00094225,0.00094225
9,222.815,1.48692,2.2991,1.6384,0.29696,0.38153,0.29788,0.15093,1.68894,2.25832,1.89864,0.000934,0.000934,0.000934
10,243.025,1.42814,2.11371,1.57192,0.56883,0.37415,0.3912,0.19073,1.75077,2.13609,1.96403,0.00092575,0.00092575,0.00092575
11,264.115,1.50006,2.07821,1.58981,0.54178,0.3387,0.35261,0.17285,1.63258,2.21489,1.86678,0.0009175,0.0009175,0.0009175
12,284.6,1.39718,2.02257,1.56943,0.40275,0.35594,0.32546,0.1768,1.58666,2.07538,1.81026,0.00090925,0.00090925,0.00090925
13,304.052,1.46776,2.04972,1.59629,0.47235,0.36074,0.32794,0.16478,1.66533,2.05248,1.79355,0.000901,0.000901,0.000901
14,325.439,1.41195,1.97922,1.55501,0.53208,0.32113,0.34724,0.17011,1.66628,2.10514,1.86295,0.00089275,0.00089275,0.00089275
15,348.132,1.42443,1.96342,1.58365,0.53083,0.40676,0.40343,0.20699,1.53224,2.09936,1.76751,0.0008845,0.0008845,0.0008845
16,370.946,1.4053,1.88647,1.5678,0.66353,0.30895,0.39619,0.19745,1.70183,1.94898,1.89889,0.00087625,0.00087625,0.00087625
17,394.148,1.40061,1.86283,1.56322,0.47733,0.36983,0.35097,0.1887,1.62448,2.07048,1.78257,0.000868,0.000868,0.000868
18,420.773,1.36639,1.74599,1.50608,0.50444,0.45725,0.46261,0.23605,1.53461,1.6206,1.69918,0.00085975,0.00085975,0.00085975
19,443.377,1.35774,1.74092,1.50526,0.49227,0.42998,0.39789,0.21042,1.54299,1.84894,1.7227,0.0008515,0.0008515,0.0008515
20,465.081,1.38596,1.70221,1.53135,0.48892,0.39325,0.38005,0.21688,1.51954,1.81454,1.67029,0.00084325,0.00084325,0.00084325
21,486.157,1.33205,1.74344,1.50673,0.40111,0.38982,0.33499,0.17657,1.62791,2.40593,1.89421,0.000835,0.000835,0.000835
22,505.987,1.3095,1.6972,1.4784,0.51716,0.47837,0.4477,0.22648,1.52879,1.78963,1.68227,0.00082675,0.00082675,0.00082675
23,525.451,1.32632,1.60197,1.47883,0.62759,0.36695,0.45433,0.23839,1.54315,1.6779,1.67472,0.0008185,0.0008185,0.0008185
24,544.731,1.26504,1.55343,1.45193,0.59122,0.44744,0.47135,0.25019,1.47931,1.84986,1.72319,0.00081025,0.00081025,0.00081025
25,566.154,1.27837,1.58002,1.43611,0.58474,0.43634,0.43658,0.2482,1.46943,1.61095,1.67125,0.000802,0.000802,0.000802
26,582.888,1.24367,1.53967,1.43713,0.6128,0.41472,0.4757,0.26062,1.45856,1.61023,1.67967,0.00079375,0.00079375,0.00079375
27,601.596,1.27426,1.55753,1.46612,0.64537,0.45512,0.50512,0.27328,1.48329,1.51183,1.70572,0.0007855,0.0007855,0.0007855
28,618.07,1.28144,1.50608,1.46019,0.68567,0.36944,0.45432,0.2609,1.41916,1.60103,1.61857,0.00077725,0.00077725,0.00077725
29,634.472,1.21176,1.44823,1.4088,0.6171,0.45547,0.49554,0.27927,1.4459,1.51709,1.64582,0.000769,0.000769,0.000769
30,653.331,1.30046,1.51204,1.45953,0.61846,0.43919,0.45023,0.23229,1.58326,1.79547,1.74676,0.00076075,0.00076075,0.00076075
31,672.009,1.24309,1.51031,1.44935,0.5338,0.50784,0.50121,0.28269,1.38026,1.51829,1.54388,0.0007525,0.0007525,0.0007525
32,688.333,1.24183,1.45843,1.42307,0.64947,0.40614,0.49247,0.29195,1.3964,1.47508,1.60335,0.00074425,0.00074425,0.00074425
33,704.278,1.23882,1.41726,1.40128,0.50019,0.45277,0.44068,0.24875,1.51442,1.56026,1.70472,0.000736,0.000736,0.000736
34,719.746,1.23189,1.44207,1.42746,0.73611,0.41613,0.50446,0.28728,1.45212,1.51243,1.67731,0.00072775,0.00072775,0.00072775
35,735.262,1.20767,1.34025,1.41836,0.64451,0.48297,0.52613,0.3096,1.41293,1.45573,1.58728,0.0007195,0.0007195,0.0007195
36,750.843,1.21725,1.39044,1.41367,0.75661,0.4272,0.52279,0.31589,1.32609,1.39345,1.51695,0.00071125,0.00071125,0.00071125
37,766.607,1.18203,1.38375,1.39231,0.50314,0.44786,0.4633,0.26659,1.43489,1.56196,1.60307,0.000703,0.000703,0.000703
38,782.295,1.23576,1.39294,1.4174,0.66856,0.49117,0.55247,0.31239,1.42704,1.43235,1.60604,0.00069475,0.00069475,0.00069475
39,797.761,1.14343,1.30505,1.3646,0.67201,0.42812,0.50699,0.29088,1.43153,1.52794,1.60447,0.0006865,0.0006865,0.0006865
40,813.38,1.18419,1.34742,1.38423,0.58514,0.4899,0.50154,0.27978,1.39755,1.44608,1.60593,0.00067825,0.00067825,0.00067825
41,828.945,1.14635,1.28005,1.36194,0.53783,0.51937,0.51502,0.30231,1.3791,1.37698,1.57457,0.00067,0.00067,0.00067
42,844.33,1.16337,1.25995,1.37095,0.6742,0.49783,0.53971,0.32068,1.3479,1.36318,1.57604,0.00066175,0.00066175,0.00066175
43,859.872,1.12102,1.28527,1.34715,0.76201,0.44578,0.53121,0.31375,1.32593,1.37373,1.53357,0.0006535,0.0006535,0.0006535
44,875.221,1.13205,1.23218,1.36054,0.6845,0.50502,0.53131,0.31815,1.31412,1.38079,1.52339,0.00064525,0.00064525,0.00064525
45,890.672,1.18096,1.28816,1.36582,0.76103,0.44364,0.54594,0.32042,1.33148,1.3912,1.48023,0.000637,0.000637,0.000637
46,906.169,1.08878,1.21585,1.33163,0.68436,0.45975,0.52695,0.3109,1.35696,1.38742,1.50515,0.00062875,0.00062875,0.00062875
47,921.523,1.10835,1.19843,1.34608,0.63583,0.39346,0.4979,0.29973,1.34048,1.3777,1.54678,0.0006205,0.0006205,0.0006205
48,936.892,1.0348,1.13665,1.29228,0.70063,0.42718,0.52313,0.30573,1.34218,1.36039,1.54407,0.00061225,0.00061225,0.00061225
49,952.278,1.14455,1.17201,1.34748,0.65536,0.44456,0.51934,0.31491,1.28848,1.32194,1.46438,0.000604,0.000604,0.000604
50,968.078,1.07414,1.13136,1.31068,0.70686,0.44722,0.51988,0.31693,1.28723,1.31965,1.48584,0.00059575,0.00059575,0.00059575
51,985.706,1.03715,1.12362,1.26801,0.55506,0.47529,0.50313,0.29232,1.36316,1.38378,1.54589,0.0005875,0.0005875,0.0005875
52,1002.98,1.0836,1.13875,1.32077,0.67054,0.51355,0.55046,0.31212,1.35781,1.33818,1.53298,0.00057925,0.00057925,0.00057925
53,1021.74,1.11405,1.17405,1.33082,0.65695,0.47065,0.54459,0.31102,1.33736,1.36871,1.5494,0.000571,0.000571,0.000571
54,1040.72,1.08777,1.12063,1.28838,0.73431,0.44202,0.53143,0.31579,1.26516,1.35392,1.4628,0.00056275,0.00056275,0.00056275
55,1058.41,1.07246,1.13249,1.29396,0.6908,0.50431,0.56065,0.32756,1.31493,1.28981,1.47687,0.0005545,0.0005545,0.0005545
56,1076.47,1.07722,1.0995,1.31065,0.7571,0.47463,0.57504,0.32515,1.37317,1.3344,1.54328,0.00054625,0.00054625,0.00054625
57,1094.43,1.1286,1.14668,1.31925,0.74096,0.47068,0.53002,0.30827,1.38668,1.34348,1.53488,0.000538,0.000538,0.000538
58,1112.77,1.08244,1.11041,1.29047,0.58494,0.49094,0.51379,0.30628,1.35369,1.35156,1.51813,0.00052975,0.00052975,0.00052975
59,1128.99,0.99165,1.04208,1.26298,0.64648,0.50484,0.54211,0.3115,1.33877,1.28851,1.50269,0.0005215,0.0005215,0.0005215
60,1145.47,1.07089,1.08337,1.31212,0.65892,0.51798,0.57716,0.343,1.29751,1.23355,1.47707,0.00051325,0.00051325,0.00051325
61,1163.95,1.10153,1.11728,1.32472,0.71249,0.4678,0.52388,0.31326,1.33166,1.31782,1.49576,0.000505,0.000505,0.000505
62,1182.95,1.05782,1.05546,1.29153,0.60432,0.4345,0.48597,0.29931,1.29693,1.30889,1.46718,0.00049675,0.00049675,0.00049675
63,1198.58,1.00929,1.02717,1.24653,0.61615,0.51708,0.52645,0.33248,1.23598,1.26536,1.43388,0.0004885,0.0004885,0.0004885
64,1214.08,1.06281,1.06272,1.30531,0.75252,0.47855,0.55291,0.34328,1.2526,1.29824,1.46282,0.00048025,0.00048025,0.00048025
65,1229.47,1.06566,1.02945,1.29604,0.59865,0.5106,0.547,0.33472,1.28782,1.26918,1.47349,0.000472,0.000472,0.000472
66,1244.96,1.04357,1.04821,1.29399,0.78291,0.4724,0.56608,0.34157,1.29765,1.21463,1.47754,0.00046375,0.00046375,0.00046375
67,1260.36,0.98468,1.02761,1.26083,0.72226,0.49796,0.58215,0.34396,1.31736,1.25129,1.50738,0.0004555,0.0004555,0.0004555
68,1275.79,0.98831,0.99427,1.26034,0.6389,0.49586,0.54003,0.32279,1.36785,1.31553,1.54291,0.00044725,0.00044725,0.00044725
69,1291.14,0.99279,0.99919,1.25505,0.74949,0.48652,0.58732,0.34204,1.31651,1.18614,1.50114,0.000439,0.000439,0.000439
70,1306.48,1.00633,0.99069,1.25056,0.62583,0.50117,0.51319,0.31891,1.32177,1.35362,1.50044,0.00043075,0.00043075,0.00043075
71,1321.79,1.00367,0.99158,1.24978,0.69004,0.51854,0.55564,0.33942,1.30078,1.2239,1.48272,0.0004225,0.0004225,0.0004225
